Time,Source,Destination,Protocol,Length,Info
1970-01-01 00:00:15.712807080,192.168.134.129,8.8.8.8,ICMP,100,"Echo (ping) request  id=0xbed3, seq=1/256, ttl=64 (reply in 5)"
1970-01-01 00:00:15.775170820,8.8.8.8,192.168.134.129,ICMP,100,"Echo (ping) reply    id=0xbed3, seq=1/256, ttl=128 (request in 4)"
1970-01-01 00:00:16.711022969,192.168.134.129,8.8.8.8,ICMP,100,"Echo (ping) request  id=0xbed3, seq=2/512, ttl=64 (reply in 7)"
1970-01-01 00:00:16.795921629,8.8.8.8,192.168.134.129,ICMP,100,"Echo (ping) reply    id=0xbed3, seq=2/512, ttl=128 (request in 6)"
1970-01-01 00:00:17.713084930,192.168.134.129,8.8.8.8,ICMP,100,"Echo (ping) request  id=0xbed3, seq=3/768, ttl=64 (reply in 9)"
1970-01-01 00:00:17.800862440,8.8.8.8,192.168.134.129,ICMP,100,"Echo (ping) reply    id=0xbed3, seq=3/768, ttl=128 (request in 8)"
1970-01-01 00:00:18.714894080,192.168.134.129,8.8.8.8,ICMP,100,"Echo (ping) request  id=0xbed3, seq=4/1024, ttl=64 (reply in 11)"
1970-01-01 00:00:18.795842230,8.8.8.8,192.168.134.129,ICMP,100,"Echo (ping) reply    id=0xbed3, seq=4/1024, ttl=128 (request in 10)"
1970-01-01 00:00:19.716591260,192.168.134.129,8.8.8.8,ICMP,100,"Echo (ping) request  id=0xbed3, seq=5/1280, ttl=64 (reply in 13)"
1970-01-01 00:00:19.785461380,8.8.8.8,192.168.134.129,ICMP,100,"Echo (ping) reply    id=0xbed3, seq=5/1280, ttl=128 (request in 12)"
1970-01-01 00:00:20.718077040,192.168.134.129,8.8.8.8,ICMP,100,"Echo (ping) request  id=0xbed3, seq=6/1536, ttl=64 (reply in 15)"
1970-01-01 00:00:20.806704470,8.8.8.8,192.168.134.129,ICMP,100,"Echo (ping) reply    id=0xbed3, seq=6/1536, ttl=128 (request in 14)"
1970-01-01 00:00:21.720617370,192.168.134.129,8.8.8.8,ICMP,100,"Echo (ping) request  id=0xbed3, seq=7/1792, ttl=64 (reply in 17)"
1970-01-01 00:00:21.806185630,8.8.8.8,192.168.134.129,ICMP,100,"Echo (ping) reply    id=0xbed3, seq=7/1792, ttl=128 (request in 16)"
1970-01-01 00:00:22.723050780,192.168.134.129,8.8.8.8,ICMP,100,"Echo (ping) request  id=0xbed3, seq=8/2048, ttl=64 (reply in 19)"
1970-01-01 00:00:23.525791900,8.8.8.8,192.168.134.129,ICMP,100,"Echo (ping) reply    id=0xbed3, seq=8/2048, ttl=128 (request in 18)"
1970-01-01 00:00:23.722987710,192.168.134.129,8.8.8.8,ICMP,100,"Echo (ping) request  id=0xbed3, seq=9/2304, ttl=64 (reply in 21)"
